Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,0.9582,0.7525,0.5168,0.8766
2,0.481,0.8641,0.4181,0.8914
3,0.3985,0.8856,0.3634,0.8947
4,0.3568,0.8945,0.3372,0.9046
5,0.331,0.8984,0.3233,0.9021
6,0.3083,0.9055,0.3151,0.9021
7,0.2982,0.907,0.3045,0.9087
8,0.278,0.9124,0.2895,0.9128
9,0.2664,0.9143,0.2893,0.9046
10,0.2586,0.9164,0.2896,0.912
11,0.2575,0.9161,0.289,0.9153
12,0.2508,0.9182,0.2791,0.9128
13,0.246,0.9193,0.286,0.9038
14,0.2351,0.9219,0.2847,0.9071
15,0.2314,0.9263,0.2718,0.9137
16,0.2328,0.9224,0.2803,0.9137
